what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1365100355147
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1365100355162
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1365100355178
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1365100355194
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1365100355194
os,sysinfo,,,"win32",1365100355194
arch,sysinfo,,,"x86",1365100355194
ws,sysinfo,,,"win32",1365100355194
locale,sysinfo,,,"en_US",1365100355194
processors,sysinfo,,,"2",1365100355194
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365100355194
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1365100355194
java.specification.name,sysinfo,,,"Java Platform API Specification",1365100355194
java.specification.vendor,sysinfo,,,"Oracle Corporation",1365100355194
java.specification.version,sysinfo,,,"1.7",1365100355194
java.vendor,sysinfo,,,"Oracle Corporation",1365100355194
java.version,sysinfo,,,"1.7.0_13",1365100355194
java.vm.info,sysinfo,,,"mixed mode",1365100355194
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1365100355194
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365100355194
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1365100355194
java.vm.specification.version,sysinfo,,,"1.7",1365100355194
java.vm.vendor,sysinfo,,,"Oracle Corporation",1365100355194
java.vm.version,sysinfo,,,"23.7-b01",1365100355194
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1365100355256
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1365100355897
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1365100356365
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1365100356459
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1365100356522
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1365100356584
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100358021
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100358099
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100358115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100359646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100362598
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100364036
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100364114
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100364114
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1365100364957
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100364957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100370456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100392795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100415556
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1365100422164
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1365100422336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100423039
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100423258
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100423336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100427976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100427976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100430522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100496587
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1365100499024
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100510974
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100511068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365100519160
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365100519660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365100523284
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1365100523487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100552747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100555981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100556340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365100556356
